Name,Manufacturer,Technology,STC,PTC,A_c,Length,Width,N_s,I_sc_ref,V_oc_ref,I_mp_ref,V_mp_ref,alpha_sc,beta_oc,T_NOCT,gamma_r
Ablytek 6MN6A270,Ablytek,Mono-c-Si,270,242.1,1.62688,0.992,1.64,60,9.34,38.63,8.81,30.72,0.0521,-0.3137,47.4,-0.4509
Ablytek 6MN6A275,Ablytek,Mono-c-Si,275,246.7,1.62688,0.992,1.64,60,9.42,38.97,8.88,30.99,0.0521,-0.3137,47.4,-0.4509
Ablytek 6MN6A280,Ablytek,Mono-c-Si,280,251.3,1.62688,0.992,1.64,60,9.51,39.31,8.96,31.26,0.0521,-0.3137,47.4,-0.4509
Ablytek 6MN6A285,Ablytek,Mono-c-Si,285,256,1.62688,0.992,1.64,60,9.59,39.65,9.04,31.53,0.0521,-0.3137,47.4,-0.4509
Ablytek 6MN6A290,Ablytek,Mono-c-Si,290,260.6,1.62688,0.992,1.64,60,9.67,39.99,9.12,31.8,0.0521,-0.3137,47.4,-0.4509
Advance Power API-P210,Advance Power,Multi-c-Si,210,186.8,1.63777,0.995,1.646,60,7.6,35.94,7.09,29.64,0.05758,-0.3342,47.6,-0.4501
Advance Power API-P215,Advance Power,Multi-c-Si,215,191.3,1.63777,0.995,1.646,60,7.83,36,7.18,29.94,0.05758,-0.3342,47.6,-0.4501
Advance Power API-P220,Advance Power,Multi-c-Si,220,195.9,1.63777,0.995,1.646,60,7.95,36.06,7.3,30.12,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M225,Advance Power,Mono-c-Si,225,200.7,1.63777,0.995,1.646,60,8.11,37.02,7.5,30,0.05373,-0.3564,46,-0.4796
Advance Power API-P225,Advance Power,Multi-c-Si,225,200.5,1.63777,0.995,1.646,60,8.1,36.42,7.41,30.36,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M230,Advance Power,Mono-c-Si,230,205.3,1.63777,0.995,1.646,60,8.18,37.32,7.55,30.48,0.05373,-0.3564,46,-0.4796
Advance Power API-P230,Advance Power,Multi-c-Si,230,205,1.63777,0.995,1.646,60,8.17,36.6,7.55,30.48,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M235,Advance Power,Mono-c-Si,235,209.8,1.63777,0.995,1.646,60,8.26,37.5,7.59,30.96,0.05373,-0.3564,46,-0.4796
Advance Power API-P235,Advance Power,Multi-c-Si,235,209.6,1.63777,0.995,1.646,60,8.23,36.72,7.68,30.6,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M240,Advance Power,Mono-c-Si,240,214.4,1.63777,0.995,1.646,60,8.29,37.56,7.69,31.2,0.05373,-0.3564,46,-0.4796
Advance Power API-P240,Advance Power,Multi-c-Si,240,214.2,1.63777,0.995,1.646,60,8.42,36.72,7.9,30.54,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M245,Advance Power,Mono-c-Si,245,219,1.63777,0.995,1.646,60,8.32,37.62,7.78,31.5,0.05373,-0.3564,46,-0.4796
Advance Power API-P245,Advance Power,Multi-c-Si,245,218.8,1.63777,0.995,1.646,60,8.46,36.9,8,30.84,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M250,Advance Power,Mono-c-Si,250,223.6,1.63777,0.995,1.646,60,8.59,37.62,8.17,30.6,0.05373,-0.3564,46,-0.4796
Advance Power API-P250,Advance Power,Multi-c-Si,250,223.4,1.63777,0.995,1.646,60,8.52,37.2,8.03,31.2,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M255,Advance Power,Mono-c-Si,255,228.2,1.63777,0.995,1.646,60,8.67,37.68,8.35,30.6,0.05373,-0.3564,46,-0.4796
Advance Power API-P255,Advance Power,Multi-c-Si,255,228,1.63777,0.995,1.646,60,8.56,37.5,8.08,31.56,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M260,Advance Power,Mono-c-Si,260,232.9,1.63777,0.995,1.646,60,8.8,37.8,8.5,30.6,0.05373,-0.3564,46,-0.4796
Advance Power API-P260,Advance Power,Multi-c-Si,260,231.5,1.951195,0.995,1.961,72,7.83,43.2,7.24,35.93,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M265,Advance Power,Mono-c-Si,265,235.7,1.951195,0.995,1.961,72,8.11,44.42,7.36,36,0.05332,-0.3244,47.9,-0.4485
Advance Power API-P265,Advance Power,Multi-c-Si,265,236,1.951195,0.995,1.961,72,7.95,43.27,7.33,36.14,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M270,Advance Power,Mono-c-Si,270,240.3,1.951195,0.995,1.961,72,8.14,44.64,7.44,36.21,0.05332,-0.3244,47.9,-0.4485
Advance Power API-P270,Advance Power,Multi-c-Si,270,240.6,1.951195,0.995,1.961,72,8.1,43.7,7.41,36.43,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M275,Advance Power,Mono-c-Si,275,244.9,1.951195,0.995,1.961,72,8.18,44.78,7.52,36.58,0.05332,-0.3244,47.9,-0.4485
Advance Power API-P275,Advance Power,Multi-c-Si,275,245.2,1.951195,0.995,1.961,72,8.17,43.92,7.52,36.58,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M280,Advance Power,Mono-c-Si,280,249.5,1.951195,0.995,1.961,72,8.21,44.86,7.6,36.86,0.05332,-0.3244,47.9,-0.4485
Advance Power API-P280,Advance Power,Multi-c-Si,280,249.8,1.951195,0.995,1.961,72,8.23,44.06,7.63,36.72,0.05758,-0.3342,47.6,-0.4501
Advance Power API-M285,Advance Power,Mono-c-Si,285,254,1.951195,0.995,1.961,72,8.39,44.21,7.77,36.72,0.05332,-0.3244,47.9,-0.4485
Advance Power API-P285,Advance Power,Multi-c-Si,285,256.9,1.951195,0.995,1.961,72,8.32,44.21,7.75,36.79,0.06001,-0.3285,46.2,-0.4402
Advance Power API-M290,Advance Power,Mono-c-Si,290,258.6,1.951195,0.995,1.961,72,8.48,44.43,7.9,36.72,0.05332,-0.3244,47.9,-0.4485
Advance Power API-P290,Advance Power,Multi-c-Si,290,261.5,1.951195,0.995,1.961,72,8.46,44.28,7.96,36.79,0.06001,-0.3285,46.2,-0.4402
Advance Power API-P295,Advance Power,Multi-c-Si,295,266.1,1.951195,0.995,1.961,72,8.49,44.42,8,37.01,0.06001,-0.3285,46.2,-0.4402
Advance Power API-P300,Advance Power,Multi-c-Si,300,270.7,1.951195,0.995,1.961,72,8.54,44.86,8.05,37.66,0.06001,-0.3285,46.2,-0.4402
Advance Power API-P305,Advance Power,Multi-c-Si,305,275.4,1.951195,0.995,1.961,72,8.56,45,8.08,37.87,0.06001,-0.3285,46.2,-0.4402
Advance Power API-P310,Advance Power,Multi-c-Si,310,277.3,1.951195,0.995,1.961,72,8.62,45.22,8.16,38.02,0.05758,-0.3342,47.6,-0.4501
Advance Power API-P315,Advance Power,Multi-c-Si,315,281.9,1.951195,0.995,1.961,72,8.67,45.58,8.24,38.45,0.05758,-0.3342,47.6,-0.4501
Advance Power API-P320,Advance Power,Multi-c-Si,320,288.7,1.94,,,72,9.38,45.51,8.75,36.59,0.05,-0.32,47.69,-0.42
Advance Power API-P325,Advance Power,Multi-c-Si,325,293.4,1.94,,,72,9.44,45.79,8.81,36.88,0.05,-0.32,47.69,-0.42
Advance Power API-M330,Advance Power,Mono-c-Si,330,302.4,1.94,,,72,9.57,46.76,8.75,37.71,0.04,-0.3,44.58,-0.42
Advance Power API-P330,Advance Power,Multi-c-Si,330,298,1.94,,,72,9.5,46.08,8.87,37.22,0.05,-0.32,47.69,-0.42
Advance Power API-M335,Advance Power,Mono-c-Si,335,307.1,1.94,,,72,9.61,47.04,8.82,37.98,0.04,-0.3,44.58,-0.42
Advance Power API-P335,Advance Power,Multi-c-Si,335,302.7,1.94,,,72,9.56,46.37,8.94,37.55,0.05,-0.32,47.69,-0.42
Advance Power API-M340,Advance Power,Mono-c-Si,340,311.8,1.94,,,72,9.64,47.18,8.96,38.32,0.04,-0.3,44.58,-0.42
Advance Power API-M345,Advance Power,Mono-c-Si,345,315.8,1.94,,,72,9.72,47.28,8.98,38.4,0.04,-0.3,44.6,-0.43
Advance Power API-M350,Advance Power,Mono-c-Si,350,320.5,1.94,,,72,9.81,47.37,9.1,38.48,0.04,-0.3,44.6,-0.43
Advance Power API-M355,Advance Power,Mono-c-Si,355,325.5,1.94,,,72,9.9,47.47,9.21,38.55,0.042,-0.282,46.67,-0.386
Advance Power API-M360,Advance Power,Mono-c-Si,360,330.2,1.94,,,72,9.99,47.56,9.32,38.63,0.042,-0.282,46.67,-0.386
Advance Power API-M365,Advance Power,Mono-c-Si,365,334.9,1.94,,,72,10.08,47.66,9.43,38.71,0.042,-0.282,46.67,-0.386
Advance Power API-M370,Advance Power,Mono-c-Si,370,339.6,1.94,,,72,10.17,47.75,9.54,38.78,0.042,-0.282,46.67,-0.386
Advanced Solar Power  Hangzhou  ASP-S1-80,Advanced Solar Power  Hangzhou ,Thin Film,80,75.2,0.72,0.6,1.2,145,0.95,118.9,0.85,94.1,0.0897,-0.3058,45.2,-0.2634
Alexus Solar ALEX-400-B-54-S,Alexus Solar,Mono-c-Si,400,370,1.95,,,54,13.67,37.21,12.58,31.18,0.049,-0.31,46.8,-0.36
Alexus Solar ALEX-405-B-54-S,Alexus Solar,Mono-c-Si,405,374.7,1.95,,,54,13.76,37.38,12.92,31.35,0.049,-0.31,46.8,-0.36
Alexus Solar ALEX-410-B-54-S,Alexus Solar,Mono-c-Si,410,379.5,1.95,,,54,13.85,37.55,13.01,31.52,0.049,-0.31,46.8,-0.36
Alexus Solar ALEX-540-B-72-S,Alexus Solar,Mono-c-Si,540,499.7,2.58,,,72,13.84,49.52,12.96,41.67,0.049,-0.31,46.8,-0.36
Alexus Solar ALEX-545-B-72-S,Alexus Solar,Mono-c-Si,545,504.5,2.58,,,72,13.91,49.68,13.03,41.83,0.049,-0.31,46.8,-0.36
Alexus Solar ALEX-550-B-72-S,Alexus Solar,Mono-c-Si,550,509.3,2.58,,,72,13.98,49.84,13.1,41.99,0.049,-0.31,46.8,-0.36
Alps Technology ATI-S572-175,Alps Technology,Mono-c-Si,175,151.3,1.2874,0.82,1.57,72,5.17,43.99,4.78,36.63,0.0415,-0.3616,49.9,-0.5072
Alps Technology ATI-S572-180,Alps Technology,Mono-c-Si,180,155.7,1.2874,0.82,1.57,72,5.31,44.06,4.9,36.72,0.0415,-0.3616,49.9,-0.5072
Alps Technology ATI-S572-185,Alps Technology,Mono-c-Si,185,160.2,1.2874,0.82,1.57,72,5.43,44.14,5.03,36.79,0.0415,-0.3616,49.9,-0.5072
Alps Technology ATI-M660-220,Alps Technology,Multi-c-Si,220,189.1,1.60974,0.99,1.626,60,7.95,36.06,7.3,30.12,0.0548,-0.3624,50.2,-0.5196
Alps Technology ATI-M660-225,Alps Technology,Multi-c-Si,225,193.6,1.60974,0.99,1.626,60,8.04,36.24,7.44,30.24,0.0548,-0.3624,50.2,-0.5196
Alps Technology ATI-M660-230,Alps Technology,Multi-c-Si,230,198,1.60974,0.99,1.626,60,8.1,36.42,7.58,30.36,0.0548,-0.3624,50.2,-0.5196
Alps Technology ATI-M660-235,Alps Technology,Multi-c-Si,235,202.5,1.60974,0.99,1.626,60,8.23,36.72,7.68,30.6,0.0548,-0.3624,50.2,-0.5196
Alps Technology ATI-M660-240,Alps Technology,Multi-c-Si,240,207,1.60974,0.99,1.626,60,8.32,36.84,7.83,30.72,0.0548,-0.3624,50.2,-0.5196
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P30-245W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,245,216.4,1.6236,0.99,1.64,60,8.75,37.5,8.17,30,0.07,-0.37,46.8,-0.51
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P30-250W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,250,221,1.6236,0.99,1.64,60,8.83,37.7,8.28,30.2,0.07,-0.37,46.8,-0.51
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P30-255W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,255,225.5,1.6236,0.99,1.64,60,8.89,37.3,8.51,30,0.07,-0.37,46.8,-0.51
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P30-260W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,260,230.1,1.6236,0.99,1.64,60,9.01,38,8.5,30.6,0.07,-0.37,46.8,-0.51
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P30-265W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,265,241.7,1.611,0.986,1.634,60,9.24,38.29,8.62,30.74,0.0551,-0.313,45.3,-0.422
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P30-270W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,270,246.4,1.611,0.986,1.634,60,9.31,38.72,8.72,30.97,0.0551,-0.313,45.3,-0.422
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P30-275W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,275,251.1,1.611,0.986,1.634,60,9.35,38.92,8.78,31.32,0.0551,-0.313,45.3,-0.422
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M30-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,280,255.9,1.611,0.986,1.634,60,9.23,39.26,9.03,31.01,0.0491,-0.297,45.2,-0.421
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P30-280W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,280,255.8,1.611,0.986,1.634,60,9.47,39.16,8.84,31.68,0.0551,-0.313,45.3,-0.422
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M30-285W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,285,260.6,1.611,0.986,1.634,60,9.46,39.18,8.95,31.85,0.0491,-0.297,45.2,-0.421
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P-320W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,320,291.9,1.923,0.986,1.95,72,9.24,45.94,8.62,37.13,0.0551,-0.313,45.3,-0.422
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P-325W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,325,296.6,1.923,0.986,1.95,72,9.28,46.31,8.72,37.28,0.0551,-0.313,45.3,-0.422
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P-330W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,330,301.3,1.923,0.986,1.95,72,9.35,46.65,8.78,37.58,0.0551,-0.313,45.3,-0.422
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-335W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,335,306.2,1.923,0.986,1.95,72,9.33,46.75,8.83,37.94,0.0491,-0.297,45.2,-0.421
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6P-335W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Multi-c-Si,335,306,1.923,0.986,1.95,72,9.47,46.83,8.84,37.9,0.0551,-0.313,45.3,-0.422
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-340W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,340,310.9,1.923,0.986,1.95,72,9.41,46.91,8.91,38.17,0.0491,-0.297,45.2,-0.421
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-345W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,345,315.6,1.923,0.986,1.95,72,9.48,47.13,8.99,38.38,0.0491,-0.297,45.2,-0.421
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-350W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,350,320.3,1.923,0.986,1.95,72,9.59,47.64,9.09,38.51,0.0491,-0.297,45.2,-0.421
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-BHC-355W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,355,328.4,1.78,,,60,11.24,40.3,10.54,33.7,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-355W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,355,327.5,1.81,,,60,11.25,40.3,10.51,33.8,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-355W Black,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,355,331.1,1.83,,,40,11.25,40.3,10.51,33.8,0.053,-0.281,44.2,-0.359
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-BHC-360W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,360,333.1,1.78,,,60,11.33,40.5,10.62,33.9,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-360W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,360,332.2,1.81,,,60,11.35,40.5,10.59,34,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-360W Black,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,360,335.9,1.83,,,40,11.35,40.5,10.59,34,0.053,-0.281,44.2,-0.359
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-BHC-365W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,365,337.9,1.78,,,60,11.41,40.7,10.71,34.1,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-365W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,365,337,1.81,,,60,11.43,40.7,10.68,34.2,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-365W Black,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,365,340.7,1.83,,,40,11.43,40.7,10.68,34.2,0.053,-0.281,44.2,-0.359
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-BHC-370W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,370,342.6,1.78,,,60,11.5,40.9,10.79,34.3,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-370W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,370,341.7,1.81,,,60,11.52,40.9,10.76,34.4,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-370W Black,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,370,345.5,1.83,,,40,11.52,40.9,10.76,34.4,0.053,-0.281,44.2,-0.359
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-BHC-375W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,375,347.4,1.78,,,60,11.59,41.1,10.87,34.5,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-375W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,375,346.5,1.81,,,60,11.6,41.1,10.84,34.6,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M120-HC-375W Black,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,375,350.3,1.83,,,40,11.6,41.1,10.84,34.6,0.053,-0.281,44.2,-0.359
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-BHC-395W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,395,367.1,1.95,,,72,10.29,48.7,9.76,40.5,0.0426,-0.2609,45.4,-0.3609
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-HC-395W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,395,365.4,1.91,,,72,10.37,48.7,9.86,40.1,0.0417,-0.2632,46.5,-0.3649
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-BHC-400W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,400,371.8,1.95,,,72,10.33,48.9,9.81,40.8,0.0426,-0.2609,45.4,-0.3609
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-HC-400W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,400,370.2,1.91,,,72,10.45,49,9.93,40.3,0.0417,-0.2632,46.5,-0.3649
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-BHC-405W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,405,376.6,1.95,,,72,10.37,49.1,9.86,41.1,0.0426,-0.2609,45.4,-0.3609
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-HC-405W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,405,375,1.91,,,72,10.52,49.2,10,40.5,0.0417,-0.2632,46.5,-0.3649
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-BHC-410W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,410,381.4,1.95,,,72,10.41,49.3,9.91,41.4,0.0426,-0.2609,45.4,-0.3609
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M-HC-410W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,410,379.7,1.91,,,72,10.59,49.4,10.08,40.7,0.0417,-0.2632,46.5,-0.3649
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-BHC-430W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,430,397.8,2.14,,,72,11.3,48.9,10.6,40.6,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-HC-430W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,430,397,2.12,,,72,11.19,49.2,10.6,40.6,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-BHC-435W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,435,402.6,2.14,,,72,11.36,49.1,10.67,40.8,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-HC-435W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,435,401.8,2.12,,,72,11.26,49.4,10.67,40.8,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-BHC-440W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,440,407.3,2.14,,,72,11.45,49.3,10.74,41,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-HC-440W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,440,406.6,2.12,,,72,11.33,49.6,10.74,41,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-BHC-445W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,445,412.1,2.14,,,72,11.52,49.5,10.81,41.2,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-HC-445W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,445,411.3,2.12,,,72,11.4,49.8,10.81,41.2,0.0554,-0.2786,46,-0.3798
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-BHC-450W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,450,416.9,2.14,,,72,11.58,49.6,10.87,41.4,0.0617,-0.3125,45.4,-0.3807
Amerisolar-Worldwide Energy and Manufacturing USA Co  Ltd AS-6M144-HC-450W,Amerisolar-Worldwide Energy and Manufacturing USA Co_ Ltd,Mono-c-Si,450,416.1,2.12,,,72,11.47,50,10.88,41.4,0.0554,-0.2786,46,-0.3798
Andalay Solar ST-175-1AC1-A-A,Andalay Solar,Mono-c-Si,175,157.5,1.27664,0.808,1.58,72,5.2,44.2,4.95,35.2,0.044,-0.322,46.4,-0.435
Andalay Solar ST-175-1AC3-B-A,Andalay Solar,Mono-c-Si,175,157.5,1.27664,0.808,1.58,72,5.2,44.2,4.95,35.2,0.044,-0.322,46.4,-0.435
Andalay Solar ST-185-1AC1-A-A,Andalay Solar,Mono-c-Si,185,167.2,1.27664,0.808,1.58,72,5.43,45,5.09,36.4,0.055,-0.326,45.8,-0.436
Andalay Solar ST-185-1AC1-A-B,Andalay Solar,Mono-c-Si,185,167.2,1.27664,0.808,1.58,72,5.43,45,5.09,36.4,0.055,-0.326,45.8,-0.436
Andalay Solar ST-185-1AC3-B-A,Andalay Solar,Mono-c-Si,185,167.2,1.27664,0.808,1.58,72,5.43,45,5.09,36.4,0.055,-0.326,45.8,-0.436
Andalay Solar ST-185-1AC3-B-B,Andalay Solar,Mono-c-Si,185,167.2,1.27664,0.808,1.58,72,5.43,45,5.09,36.4,0.055,-0.326,45.8,-0.436
Andalay Solar ST-190-1AC1-A-B,Andalay Solar,Mono-c-Si,190,171.8,1.27664,0.808,1.58,72,5.62,45.2,5.2,36.6,0.055,-0.326,45.8,-0.436
Andalay Solar ST-190-1AC3-B-B,Andalay Solar,Mono-c-Si,190,171.8,1.27664,0.808,1.58,72,5.62,45.2,5.2,36.6,0.055,-0.326,45.8,-0.436
Andalay Solar ST-195-1AC1-A-B,Andalay Solar,Mono-c-Si,195,176.5,1.27664,0.808,1.58,72,5.69,45.4,5.33,36.6,0.055,-0.326,45.8,-0.436
Andalay Solar ST-195-1AC3-B-B,Andalay Solar,Mono-c-Si,195,176.5,1.27664,0.808,1.58,72,5.69,45.4,5.33,36.6,0.055,-0.326,45.8,-0.436
Andalay Solar LW-230-1-AC0-D-B,Andalay Solar,Multi-c-Si,230,204.4,1.61934,0.985,1.644,60,8.38,36.6,7.87,29.2,0.06,-0.34,48.2,-0.45
Andalay Solar LW-230-1-AC1-A-B,Andalay Solar,Multi-c-Si,230,204.4,1.61934,0.985,1.644,60,8.38,36.6,7.87,29.2,0.06,-0.34,48.2,-0.45
Andalay Solar LW-230-1-AC2-D-B,Andalay Solar,Multi-c-Si,230,204.4,1.61934,0.985,1.644,60,8.38,36.6,7.87,29.2,0.06,-0.34,48.2,-0.45
Andalay Solar LW-230-1-AC3-B-B,Andalay Solar,Multi-c-Si,230,204.4,1.61934,0.985,1.644,60,8.38,36.6,7.87,29.2,0.06,-0.34,48.2,-0.45
